Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"125362, Москва г, ул. Лодочная, д. 13, строение 1",a5a9ceb0-73d4-4524-be0a-6c2a181f094a,a5a9ceb0-73d4-4524-be0a-6c2a181f094a,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,2837.4,2394,-,-,-,,,,,77:08:0004015:1010,3cd19822-13f4-4bf7-bede-372278a74d90,,,37.4578038,55.83643009999999,76,POINT (37.4578038 55.83643009999999)
"125362, Москва г, ул. Лодочная, д. 15, строение 1",a177730f-8924-4414-945f-caa4d1d8334e,a177730f-8924-4414-945f-caa4d1d8334e,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,2781.5,2357,-,-,-,,,,,77:08:0004015:1011,2b982b6b-989e-49b2-b5ae-8acebc2ac276,,,37.458585,55.836612,76,POINT (37.458585 55.836612)
"125362, Москва г, ул. Лодочная, д. 17",16f83b08-23cc-4fdb-95d3-6d0b996f5e6a,16f83b08-23cc-4fdb-95d3-6d0b996f5e6a,45373000,ТСЖ,1087746602877.0,773301001.0,"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""ЛОДОЧНАЯ 17""",Многоквартирный,Исправный,17527.9,17523.7,-,-,-,,,,,77:08:0004015:1043,71263c55-eef1-4b23-99ca-e07f3e918aa8,,,37.4596876,55.8364923,76,POINT (37.4596876 55.8364923)
"125362, Москва г, ул. Лодочная, д. 19",8d4331f7-6ec1-45ee-9c8f-bae35423204d,8d4331f7-6ec1-45ee-9c8f-bae35423204d,45373000,Не выбран,,,,Многоквартирный,,,,-,-,-,,,,,,f4e3daa7-0467-4b36-bf55-12247140aebd,,,37.4597949,55.8371401,76,POINT (37.4597949 55.8371401)
"125362, Москва г, ул. Лодочная, д. 23, строение 1",3e709aa2-7a4f-4cfd-95b7-2e917185efe4,3e709aa2-7a4f-4cfd-95b7-2e917185efe4,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,2552.2,2485,-,-,-,,,,,77:08:0004015:1012,b5bda2e6-b1c5-4e7f-8b78-6d1a36d40323,,,37.460918,55.8366218,76,POINT (37.460918 55.8366218)
"125362, Москва г, ул. Лодочная, д. 25, строение 1",a570ebf6-3f69-4503-8402-7f9ecfd72690,a570ebf6-3f69-4503-8402-7f9ecfd72690,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,2547.0,2489,-,-,-,,,,,77:08:0004015:1013,5d278739-0255-4bf1-84d7-c510de204894,,,37.4616339,55.836743,76,POINT (37.4616339 55.836743)
"125362, Москва г, ул. Лодочная, д. 27, корп. 1",09f5dc2f-9bda-4272-93d2-ef0eb324faa0,09f5dc2f-9bda-4272-93d2-ef0eb324faa0,45373000,Не выбран,,,,Многоквартирный,,,,-,-,-,,,,,,813bd325-525b-448c-b553-385f4c617a91,,,37.461112,55.837579,76,POINT (37.461112 55.837579)
"125362, Москва г, ул. Лодочная, д. 27, строение 1",520ba74d-d51d-43f9-b1c3-a3439782f77c,520ba74d-d51d-43f9-b1c3-a3439782f77c,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,747.5,2380,-,-,-,,,,,77:08:0004015:1060,76f33791-8233-41ee-9e6c-2509741c403f,,,37.461112,55.837579,76,POINT (37.461112 55.837579)
"125362, Москва г, ул. Лодочная, д. 9",90ce9920-af6f-4f57-904e-99aafcd4f0c2,90ce9920-af6f-4f57-904e-99aafcd4f0c2,45373000,ТСЖ,1197746009394.0,773301001.0,"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""ЛОДОЧНАЯ 9""",Многоквартирный,Исправный,17492.0,8795,-,-,-,,,,,,00c5831c-3470-4db7-8fdb-791301848b06,,,37.4563368,55.8366688,76,POINT (37.4563368 55.8366688)
"125362, Москва г, ул. Лодочная, д. 9, корп. 1",7e006e41-c7d8-4616-8770-273580de2db8,7e006e41-c7d8-4616-8770-273580de2db8,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,17354.4,17235,-,-,-,,,,,77:08:0004015:1040,13334b84-0c1d-42ae-8815-675dc05e9110,,,37.45811399999999,55.83725579999999,76,POINT (37.45811399999999 55.83725579999999)
"125362, Москва г, ул. Лодочная, д. 9, корп. 3",5d741a59-5bcd-433f-a8f3-ddcdc55860ac,5d741a59-5bcd-433f-a8f3-ddcdc55860ac,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,7607.8,7524,-,-,-,,,,,77:08:0004015:1049,ad8ddb8f-d815-4c44-8761-88ab7118ec2d,,,37.457256,55.8379932,76,POINT (37.457256 55.8379932)
"125362, Москва г, ул. Лодочная, д. 9, корп. 4",388d0071-ada4-4eaa-a61c-b1d85b36dea1,388d0071-ada4-4eaa-a61c-b1d85b36dea1,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,7580.6,7187,-,-,-,,,,,77:08:0004015:1050,a75e9ed2-22ad-4e28-8655-dc02e6c4374a,,,37.4573325,55.8386404,76,POINT (37.4573325 55.8386404)
"125362, Москва г, ул. Лодочная, д. 9, строение 2",eef3b3c1-8bed-44b0-8859-fe318eee2fe7,eef3b3c1-8bed-44b0-8859-fe318eee2fe7,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,2604.5,2520,-,-,-,,,,,77:08:0004015:1008,e15099bd-0059-4d06-97ca-c25a7a980ee0,,,37.4563802,55.8373393,76,POINT (37.4563802 55.8373393)
"125363, Москва г, б-р. Химкинский, д. 19, корп. 1",77c6ed4f-06e9-4711-b75a-99f71bc76a61,77c6ed4f-06e9-4711-b75a-99f71bc76a61,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,3327.8,3251,-,-,-,,,,,77:08:0004008:1009,7bb03d62-b1d3-4a26-ac3f-14cd4db4ef61,,,37.44499,55.84934699999999,76,POINT (37.44499 55.84934699999999)
"125363, Москва г, б-р. Химкинский, д. 19, корп. 2",da777c7b-a8a8-4cc9-a7cc-1dbc6f7edae3,da777c7b-a8a8-4cc9-a7cc-1dbc6f7edae3,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,3347.1,3332,-,-,-,,,,,77:08:0004008:1010,ccab93e2-495d-4584-84c5-63cc6979d976,,,37.444031,55.84925399999999,76,POINT (37.444031 55.84925399999999)
"125363, Москва г, б-р. Химкинский, д. 21",10d130c8-a50a-4a35-b315-fe0976affa0a,10d130c8-a50a-4a35-b315-fe0976affa0a,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,7746.3,5990,-,-,-,,,,,77:08:0004008:1011,9a6d9e6a-8544-46da-8675-f5dc88e3228c,,,37.4424939,55.8494742,76,POINT (37.4424939 55.8494742)
"125363, Москва г, б-р. Химкинский, д. 23",1428c12c-7329-47c4-9d36-fe373e33fcde,1428c12c-7329-47c4-9d36-fe373e33fcde,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,4209.6,2741,-,-,-,,,,,77:08:0004008:1012,bf272f5d-9ec6-4408-b8aa-181b7b23c9b3,,,37.4420563,55.8494713,76,POINT (37.4420563 55.8494713)
"125363, Москва г, б-р. Яна Райниса, д. 1",27e2d31b-2fa9-48ef-9923-7c7338e9570e,4e14a52c-9df9-4bc8-95a1-ca2000089f14,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,29259.1,24444,-,-,-,,,,,77:08:0004005:1006,5876bd76-43c8-4236-b7d5-fe8db19a4132,,,37.4337166,55.8496605,76,POINT (37.4337166 55.8496605)
"125363, Москва г, б-р. Яна Райниса, д. 11",d29f4920-5edc-4ba3-aa3c-7ac4b5cc9f43,d29f4920-5edc-4ba3-aa3c-7ac4b5cc9f43,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,3684.3,3404,-,-,-,,,,,77:08:0004005:1031,3341f797-bf94-47f1-90e1-1c8221b97334,,,37.4342287,55.8491847,76,POINT (37.4342287 55.8491847)
"125363, Москва г, б-р. Яна Райниса, д. 3",1d164758-4b05-4760-a685-48fff84dac5a,11f453c1-f210-4ba6-9023-d0511a6d51b3,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,3840.8,3364,-,-,-,,,,,77:08:0004005:1027,f47f7360-ffa5-4125-b276-0da4d5aaa7a2,,,37.4375236,55.8495881,76,POINT (37.4375236 55.8495881)
"125363, Москва г, б-р. Яна Райниса, д. 5",24904b86-e8c1-4173-bd30-d3eda79cac90,24904b86-e8c1-4173-bd30-d3eda79cac90,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,3683.4,3373,-,-,-,,,,,77:08:0004005:1028,d20b93c6-eb15-47d1-b783-b0f9d5f266cd,,,37.4366658,55.8494359,76,POINT (37.4366658 55.8494359)
"125363, Москва г, б-р. Яна Райниса, д. 7",b77d0528-0995-4741-a62b-3113e51cc0aa,b77d0528-0995-4741-a62b-3113e51cc0aa,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,3679.1,3407,-,-,-,,,,,77:08:0004005:1029,211ce873-8c78-4c1d-946d-1f2542435547,,,37.4359403,55.8493583,76,POINT (37.4359403 55.8493583)
"125363, Москва г, б-р. Яна Райниса, д. 7, корп. 1",b35d6c04-fdea-4ab0-81e8-a35b96b4ab4f,b35d6c04-fdea-4ab0-81e8-a35b96b4ab4f,45373000,ТСЖ,1027739246765.0,773301001.0,"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""ЯНИС""",Многоквартирный,Исправный,8965.9,8584.7,нет,нет,-,,,,,77:08:0004005:1011,9d82a263-07bd-4d86-947f-268c0ee666c4,,,37.4361091,55.84866839999999,76,POINT (37.4361091 55.84866839999999)
"125363, Москва г, б-р. Яна Райниса, д. 9",c3e52b7a-0de8-4303-a0bd-df47664b0e35,c3e52b7a-0de8-4303-a0bd-df47664b0e35,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,4159.6,3403,-,-,-,,,,,77:08:0004005:1030,ce7a658a-1c63-4416-987b-3bc779341540,,,37.4350337,55.8493049,76,POINT (37.4350337 55.8493049)
"125363, Москва г, проезд. Строительный, д. 6, строение 6",0eefd532-5534-4303-a9d9-45dab38fd0b9,0eefd532-5534-4303-a9d9-45dab38fd0b9,45373000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,e9f4b2e5-2114-4279-9fb3-09a7b5bccf0b,,,37.4290669,55.8387621,76,POINT (37.4290669 55.8387621)
"125363, Москва г, проезд. Цветочный, д. 11, строение 1",1cd5d68a-d1d8-4ed5-9536-2cfb21ad4225,1cd5d68a-d1d8-4ed5-9536-2cfb21ad4225,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,2480.6,2481,-,-,-,,,,,77:08:0005002:1045,56da5ca3-7a3a-4cf8-8030-1eeab2c71e8c,,,37.4332459,55.841148,76,POINT (37.4332459 55.841148)
"125363, Москва г, проезд. Цветочный, д. 13",082f3589-cb33-48c8-94d1-3a66c83c98a1,082f3589-cb33-48c8-94d1-3a66c83c98a1,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,2018.6,1977,-,-,-,,,,,77:08:0005002:1046,eb9c2b28-4e0d-4665-9e2f-5c1530856216,,,37.432469,55.84117699999999,76,POINT (37.432469 55.84117699999999)
"125363, Москва г, проезд. Цветочный, д. 15",a6f27b64-3c27-4a1a-ad6c-7b7e91541022,a6f27b64-3c27-4a1a-ad6c-7b7e91541022,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,2507.9,1998,-,-,-,,,,,77:08:0005002:1047,e7bee64d-d1a7-400c-a3eb-646f2c48d191,,,37.4316724,55.8409729,76,POINT (37.4316724 55.8409729)
"125363, Москва г, проезд. Цветочный, д. 9, строение 1",4390bf31-8cbf-42b2-9859-80598771825c,ce44565c-6d9f-477b-aebd-e3491b228484,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,2483.1,2483,-,-,-,,,,,77:08:0005002:1044,8faa8e85-0410-49c9-8e23-ebcd051a69b5,,,37.434055,55.841106,76,POINT (37.434055 55.841106)
"125363, Москва г, ул. Аэродромная, д. 1",6cb98d94-06d8-401e-9cf0-3d28c98d359f,6cb98d94-06d8-401e-9cf0-3d28c98d359f,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,5298.7,5149,-,-,-,,,,,77:08:0004004:1032,3b617dcd-c0b3-4b6e-8b14-591738b5bbb6,,,37.4305949,55.845367,76,POINT (37.4305949 55.845367)
"125363, Москва г, ул. Аэродромная, д. 10, корп. 1",0e6c28b4-5f69-429c-b5e5-8cd78f68a66e,0e6c28b4-5f69-429c-b5e5-8cd78f68a66e,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,2686.6,2512,-,-,-,,,,,77:08:0004005:1003,011e34ad-02b4-4aad-ad56-57bcb61bd45e,,,37.4333089,55.8472759,76,POINT (37.4333089 55.8472759)
"125363, Москва г, ул. Аэродромная, д. 10, корп. 2",cbd749f3-4ff5-43ec-b36a-bb4f365b89e1,cbd749f3-4ff5-43ec-b36a-bb4f365b89e1,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,3242.8,3199,-,-,-,,,,,77:08:0004005:1020,57db31a1-7631-4a40-b04a-73158890398f,,,37.4346439,55.8474109,76,POINT (37.4346439 55.8474109)
"125363, Москва г, ул. Аэродромная, д. 11",f548a991-0ed1-45cf-8f2d-eefc3ed8bd67,f548a991-0ed1-45cf-8f2d-eefc3ed8bd67,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,5280.9,4980,-,-,-,,,,,77:08:0004004:1002,a66482df-f7ed-4458-99c2-b91ce3a382f5,,,37.4323539,55.846708,76,POINT (37.4323539 55.846708)
"125363, Москва г, ул. Аэродромная, д. 12, корп. 1",adc2fec2-84cf-4242-a64c-900fdf855760,adc2fec2-84cf-4242-a64c-900fdf855760,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,3813.7,3363,-,-,-,,,,,77:08:0004005:1002,f0e01517-862a-4ca3-bcec-c8429849eedc,,,37.433793,55.847834,76,POINT (37.433793 55.847834)
"125363, Москва г, ул. Аэродромная, д. 14",7914602c-d8c6-4ec0-a709-2f9ee1e9d547,7914602c-d8c6-4ec0-a709-2f9ee1e9d547,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,2742.3,2480,-,-,-,,,,,77:08:0004005:1021,85144f5a-c529-4390-adb2-728b01a94860,,,37.43301659999999,55.8481421,76,POINT (37.43301659999999 55.8481421)
"125363, Москва г, ул. Аэродромная, д. 15",b7f7fd16-6d9b-448c-bd05-408d4d43b5e1,b7f7fd16-6d9b-448c-bd05-408d4d43b5e1,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,3568.4,3542,-,-,-,,,,,77:08:0004004:1000,b52ae2cf-5c63-46b7-9a47-7c848bb1f277,,,37.4318445,55.8489654,76,POINT (37.4318445 55.8489654)
"125363, Москва г, ул. Аэродромная, д. 15, корп. 1",5ab0b50a-9ac1-40f5-aa22-df33c21d977b,5ab0b50a-9ac1-40f5-aa22-df33c21d977b,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,9787.3,8249,-,-,-,,,,,77:08:0004004:1034,bce5925b-59d8-48f6-8a12-2659c6f1304a,,,37.4311769,55.84816110000001,76,POINT (37.4311769 55.84816110000001)
"125363, Москва г, ул. Аэродромная, д. 16",a9f9e50a-6a10-405d-b695-b499a2dba89a,a9f9e50a-6a10-405d-b695-b499a2dba89a,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,3688.9,3378,-,-,-,,,,,77:08:0004005:1022,d548fa9c-eb4c-41bd-8cfd-f2abd117a936,,,37.4335116,55.8486267,76,POINT (37.4335116 55.8486267)
"125363, Москва г, ул. Аэродромная, д. 16, корп. 1, строение 7",c09a8600-47d7-4639-91cf-b2115d444d43,c09a8600-47d7-4639-91cf-b2115d444d43,45373000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,c9d2eb4d-1969-4051-b33e-892c38f78a1f,,,37.4335116,55.8486267,76,POINT (37.4335116 55.8486267)
"125363, Москва г, ул. Аэродромная, д. 18",aa0dbd8c-863f-438c-8a10-b40bd1894be3,aa0dbd8c-863f-438c-8a10-b40bd1894be3,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,3349.1,3309,-,-,-,,,,,77:08:0004005:1023,642eb675-dd4f-4b7a-bcbc-0755695642ed,,,37.4327133,55.849063,76,POINT (37.4327133 55.849063)
"125363, Москва г, ул. Аэродромная, д. 2, строение 1",1cef67e6-c158-4605-bab0-a99e94ac734b,1cef67e6-c158-4605-bab0-a99e94ac734b,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,7465.6,7020,-,-,-,,,,,77:08:0004007:1002,f713b38c-30ea-4022-b2f4-33192109d9cd,,,37.4312595,55.8445842,76,POINT (37.4312595 55.8445842)
"125363, Москва г, ул. Аэродромная, д. 3",e7d28e4f-ed11-49dd-8fa5-13dabeb43118,e7d28e4f-ed11-49dd-8fa5-13dabeb43118,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,5262.7,5255,-,-,-,,,,,77:08:0004004:1033,f2a3b156-1929-4b36-81e1-706acd1e4ccd,,,37.4305419,55.8457193,76,POINT (37.4305419 55.8457193)
"125363, Москва г, ул. Аэродромная, д. 4, строение 1",7a93c8d6-9267-442e-8c0b-0b9f63606d81,eed329ac-6e06-42f9-8bf7-b42c5351f94b,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,11181.6,10640,-,-,-,,,,,77:08:0004007:1003,5be1c467-9796-4fe5-bc5a-572894e0256e,,,37.432574,55.845087,76,POINT (37.432574 55.845087)
"125363, Москва г, ул. Аэродромная, д. 6",29e232eb-9f40-42ca-b8ad-975e18ac5a4b,29e232eb-9f40-42ca-b8ad-975e18ac5a4b,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,2633.7,2302,-,-,-,,,,,77:08:0004007:1004,7713b3a6-e009-4a7a-b812-356cdec627d6,,,37.4320796,55.8456576,76,POINT (37.4320796 55.8456576)
"125363, Москва г, ул. Аэродромная, д. 7",5fdf1178-507c-4fb0-81a7-4ed84b568b24,5fdf1178-507c-4fb0-81a7-4ed84b568b24,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,5275.7,5220,-,-,-,,,,,77:08:0004004:1001,464909d9-184f-4cf4-80f0-8f03b338b5d2,,,37.4305123,55.8461617,76,POINT (37.4305123 55.8461617)
"125363, Москва г, ул. Аэродромная, д. 8",8d36f8a8-61b4-4b6b-86e9-173a068c97d6,8d36f8a8-61b4-4b6b-86e9-173a068c97d6,45373000,УО,5147746343993.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ ТУШИНО""",Многоквартирный,Исправный,2810.1,2562,-,-,-,,,,,77:08:0004007:1005,0188fdb8-b7c4-4eed-8097-d42696e9cda4,,,37.4333317,55.8462769,76,POINT (37.4333317 55.8462769)
