Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"101000, Москва г, б-р. Сретенский, д. 6/1, строение 1",409e1354-7556-431c-9f4a-36cff8b1d308,7ea9e16a-41a1-4c2e-96dc-c5fdf7de4f7a,45378000,ТСЖ,1027739330728.0,770801001.0,"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ЖИЛОГО ДОМА ПО АДРЕСУ: Г.МОСКВА, СРЕТЕНСКИЙ Б-Р, 6/1 ""ТОВАРИЩЕСТВО НА СРЕТЕНКЕ""",Многоквартирный,Исправный,24378.8,12687,-,-,-,,,,,,ee275696-feff-4016-83fa-c080bf5188b3,,,37.6336171,55.76589070000001,93,POINT (37.6336171 55.76589070000001)
"101000, Москва г, б-р. Сретенский, д. 6/1, строение 2",d95288be-3f2b-4259-80c9-0b7e454eed62,d95288be-3f2b-4259-80c9-0b7e454eed62,45378000,УО,5137746187541.0,770801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК КРАСНОСЕЛЬСКОГО РАЙОНА""",Многоквартирный,Исправный,14543.3,6125,-,-,-,,,,,77:01:0001037:1020,960b81b2-44a4-41c0-b810-017fc9885203,,,37.6350211,55.7653614,93,POINT (37.6350211 55.7653614)
"101000, Москва г, б-р. Сретенский, д. 6/1, строение 1",409e1354-7556-431c-9f4a-36cff8b1d308,7ea9e16a-41a1-4c2e-96dc-c5fdf7de4f7a,45378000,ТСЖ,1027739330728.0,770801001.0,"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ЖИЛОГО ДОМА ПО АДРЕСУ: Г.МОСКВА, СРЕТЕНСКИЙ Б-Р, 6/1 ""ТОВАРИЩЕСТВО НА СРЕТЕНКЕ""",Многоквартирный,Исправный,24378.8,12687,-,-,-,,,,,,ee275696-feff-4016-83fa-c080bf5188b3,,,37.6336171,55.76589070000001,93,POINT (37.6336171 55.76589070000001)
"101000, Москва г, б-р. Сретенский, д. 6/1, строение 2",d95288be-3f2b-4259-80c9-0b7e454eed62,d95288be-3f2b-4259-80c9-0b7e454eed62,45378000,УО,5137746187541.0,770801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК КРАСНОСЕЛЬСКОГО РАЙОНА""",Многоквартирный,Исправный,14543.3,6125,-,-,-,,,,,77:01:0001037:1020,960b81b2-44a4-41c0-b810-017fc9885203,,,37.6350211,55.7653614,93,POINT (37.6350211 55.7653614)
"101000, Москва г, пер. Милютинский, д. 19/4, строение 2",dce8aabf-a5d3-48e3-89e5-834ecefbfa44,da559dfe-9c98-4500-8fa6-d4bed988ee3a,45378000,УО,5137746187541.0,770801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК КРАСНОСЕЛЬСКОГО РАЙОНА""",Многоквартирный,Исправный,3754.9,2305.3,-,-,-,,,,,77:01:0001036:1018,2ceee862-219c-49f5-acf8-b320762393b7,,,37.632172,55.765953,93,POINT (37.632172 55.765953)
"101000, Москва г, пер. Милютинский, д. 20/2, строение 1",a6ffe64b-5fa8-4b46-b242-88c8b7f888d3,a6ffe64b-5fa8-4b46-b242-88c8b7f888d3,45378000,УО,5137746187541.0,770801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК КРАСНОСЕЛЬСКОГО РАЙОНА""",Многоквартирный,Аварийный,10906.0,6436.30,-,-,-,,,,,77:01:0001037:1013,bd24d08a-21e4-4d43-a24e-bf3782bcb6b5,,,37.63268800000001,55.765376,93,POINT (37.63268800000001 55.765376)
"101000, Москва г, пер. Милютинский, д. 3",dc6b4024-702f-495c-ad0f-306348927316,dc6b4024-702f-495c-ad0f-306348927316,45378000,ТСЖ,5137746187541.0,770801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК КРАСНОСЕЛЬСКОГО РАЙОНА""",Многоквартирный,Исправный,9011.8,6248.6,-,-,-,,,,,77:01:0001036:1017,c07383d1-1147-4362-91e5-71058f9be368,,,37.6315398,55.761413,93,POINT (37.6315398 55.761413)
"101000, Москва г, пер. Уланский, д. 11А",b500a628-c7b4-45ab-b506-3a7d3afd536b,b500a628-c7b4-45ab-b506-3a7d3afd536b,45378000,УО,5137746187541.0,770801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК КРАСНОСЕЛЬСКОГО РАЙОНА""",Многоквартирный,Исправный,5179.8,4263.1,-,-,-,,,,,77:01:0001086:1037,3aa22145-5166-488b-a9cc-2aabb1fcc043,,,37.638249,55.768787,93,POINT (37.638249 55.768787)
"101000, Москва г, пер. Уланский, д. 14, корп. А",ccfca9be-8e72-437c-a55a-a1d0b40e1969,ccfca9be-8e72-437c-a55a-a1d0b40e1969,45378000,УО,5137746187541.0,770801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК КРАСНОСЕЛЬСКОГО РАЙОНА""",Многоквартирный,Исправный,4698.7,3505.2,-,-,-,,,,,77:01:0001086:1039,607f192b-5b01-4470-921f-4f64eb8b66d7,,,37.6404439,55.768764,93,POINT (37.6404439 55.768764)
"101000, Москва г, пер. Уланский, д. 14, корп. Б",f53d67c9-2820-43e7-a0e7-9825a38cb15e,f53d67c9-2820-43e7-a0e7-9825a38cb15e,45378000,УО,5137746187541.0,770801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК КРАСНОСЕЛЬСКОГО РАЙОНА""",Многоквартирный,Исправный,4377.7,3224.9,-,-,-,,,,,77:01:0001086:1038,d29403b7-100f-4d21-b8af-ff0c225edcbb,,,37.640444,55.768764,93,POINT (37.640444 55.768764)
"101000, Москва г, ул. Лубянка М., д. 16",33842f4b-de2a-4248-9a55-0f7eeac8accd,f285424a-900f-4b6d-913a-74c1982eeefb,45378000,УО,5137746187541.0,770801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК КРАСНОСЕЛЬСКОГО РАЙОНА""",Многоквартирный,Исправный,16348.6,6439.3,-,-,-,,,,,77:01:0001036:1023,72f56407-1bc2-4354-a6a0-2013e132d889,,,37.6312298,55.764716,93,POINT (37.6312298 55.764716)
"101000, Москва г, ул. Мясницкая, д. 13, строение 3",efa882f9-8a49-4287-b780-9bd096ae3b24,46529c68-3f5b-47a0-ba05-75d3aea432da,45378000,Непосредственное управление,,,,Многоквартирный,Аварийный,4011.9,,-,-,-,,,,,,ec81d185-1bdd-45ee-b8cc-c5f5e2adbbaf,,,37.633925,55.76267199999999,93,POINT (37.633925 55.76267199999999)
"101000, Москва г, ул. Мясницкая, д. 15",73614aff-3d04-4641-898b-97d3d526e7f5,7769ddcd-d560-4021-b2e4-0e3b889a7f7c,45378000,УО,5137746187541.0,770801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК КРАСНОСЕЛЬСКОГО РАЙОНА""",Многоквартирный,Исправный,10965.3,5546,-,-,-,,,,,77:01:0001037:1009,4019239d-ff0f-42bf-94c2-a38c79e8cab8,,,37.6349646,55.7629619,93,POINT (37.6349646 55.7629619)
"101000, Москва г, ул. Мясницкая, д. 17, строение 2",346d13a9-ff2f-45fd-b111-87eec19d3fb3,99efa0fc-09aa-47cd-ac48-6c2d4d04c664,45378000,УО,5137746187541.0,770801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК КРАСНОСЕЛЬСКОГО РАЙОНА""",Многоквартирный,Исправный,4202.5,3089.9,-,-,-,,,,,77:01:0001037:1010,539ec8d2-a8ae-4df6-9d39-495658e6639a,,,37.634681,55.763789,93,POINT (37.634681 55.763789)
"101000, Москва г, ул. Мясницкая, д. 21, строение 5",b977d09e-1d24-4a6c-adc2-c0f7c0822ed0,b977d09e-1d24-4a6c-adc2-c0f7c0822ed0,45378000,УО,5137746187541.0,770801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК КРАСНОСЕЛЬСКОГО РАЙОНА""",Многоквартирный,Исправный,4036.9,3602.40,-,-,-,,,,,77:01:0001037:1011,421ef9b4-515f-4214-9b09-3e6a18ccc4cd,,,37.6353175,55.7641089,93,POINT (37.6353175 55.7641089)
"101000, Москва г, ул. Мясницкая, д. 21, строение 8",c4cedf24-4f39-4d62-9dd7-29cb164e89b1,c4cedf24-4f39-4d62-9dd7-29cb164e89b1,45378000,УО,5137746187541.0,770801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК КРАСНОСЕЛЬСКОГО РАЙОНА""",Многоквартирный,Исправный,7153.3,6283.2,-,-,-,,,,,77:01:0001037:1012,8132bb84-eeab-4022-9113-9eb3084c78f8,,,37.6344414,55.7642327,93,POINT (37.6344414 55.7642327)
"101000, Москва г, ул. Мясницкая, д. 35А",7fb2c8db-8aee-4ee9-93c9-e270225dc715,7fb2c8db-8aee-4ee9-93c9-e270225dc715,45378000,УО,5137746187541.0,770801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК КРАСНОСЕЛЬСКОГО РАЙОНА""",Многоквартирный,Исправный,2906.5,2856.3,-,-,-,,,,,77:01:0001085:1005,5a639ab6-4e6a-4661-b401-bf283163ba50,,,37.639455,55.7670661,93,POINT (37.639455 55.7670661)
"105066, Москва г, ул. Нижняя Красносельская, д. 15-17, строение 2",36c75765-2ba1-4fd4-bef6-11631655d5b9,36c75765-2ba1-4fd4-bef6-11631655d5b9,45378000,УО,5137746187541.0,770801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК КРАСНОСЕЛЬСКОГО РАЙОНА""",Многоквартирный,Исправный,2479.5,2268.3,-,-,-,,,,,77:01:0003021:1001,3fd0bd1f-bec5-473a-88af-5ce4c6427a6e,,,37.669638,55.77729,93,POINT (37.669638 55.77729)
"105066, Москва г, ул. Нижняя Красносельская, д. 15, строение 1",e7ab4f75-75af-4f0f-a216-79a248d363e2,006f44f3-5df0-473b-8665-1efafc2bbce1,45378000,УО,5137746187541.0,770801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК КРАСНОСЕЛЬСКОГО РАЙОНА""",Многоквартирный,Исправный,3054.5,2096.1,-,-,-,,,,,77:01:0003021:1002,41159c8f-8176-47bd-a354-958927797c33,,,37.670902,55.777424,93,POINT (37.670902 55.777424)
"105066, Москва г, ул. Нижняя Красносельская, д. 21",0254307c-26e2-4cd3-a1fa-0b7fc72336ef,0254307c-26e2-4cd3-a1fa-0b7fc72336ef,45378000,УО,5137746187541.0,770801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК КРАСНОСЕЛЬСКОГО РАЙОНА""",Многоквартирный,Исправный,3648.7,2976.3,-,-,-,,,,,77:01:0003021:1014,c7df878c-aa65-4342-b334-c96e77d5e65f,,,37.670558,55.777061,93,POINT (37.670558 55.777061)
"105066, Москва г, ул. Нижняя Красносельская, д. 28",8da180f6-ac0c-4f29-9955-c6289324765f,8da180f6-ac0c-4f29-9955-c6289324765f,45378000,УО,5137746187541.0,770801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК КРАСНОСЕЛЬСКОГО РАЙОНА""",Многоквартирный,Исправный,1272.5,1042.4,-,-,-,,,,,77:01:0003019:1003,9f7b5c18-abe8-4789-bade-d82082e1ea6e,,,37.6698921,55.77659809999999,93,POINT (37.6698921 55.77659809999999)
"105066, Москва г, ул. Ольховская, д. 15",a8329f16-a883-4bbb-8cb9-aeb905944ae3,a8329f16-a883-4bbb-8cb9-aeb905944ae3,45378000,УО,1107746207865.0,770501001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕМПОСТРОЙ""",Многоквартирный,Исправный,4976.8,4130.9,-,-,-,,,,,77:01:0003019:1039,8a14962c-aca0-4f1d-8bd5-7caf1b8fb0a7,,,37.665585,55.77401500000001,93,POINT (37.665585 55.77401500000001)
"105066, Москва г, ул. Ольховская, д. 17",8ce3ef31-8e35-4ffa-99d7-4dd92e46790f,8ce3ef31-8e35-4ffa-99d7-4dd92e46790f,45378000,УО,5137746187541.0,770801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК КРАСНОСЕЛЬСКОГО РАЙОНА""",Многоквартирный,Исправный,4181.3,2776.1,-,-,-,,,,,77:01:0003019:1040,6e3628b1-99a3-474b-b247-2bc7e0e73f44,,,37.6668335,55.77433610000001,93,POINT (37.6668335 55.77433610000001)
"105066, Москва г, ул. Ольховская, д. 19",48c95aec-2d86-497a-9a43-4cce91501796,48c95aec-2d86-497a-9a43-4cce91501796,45378000,УО,5137746187541.0,770801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК КРАСНОСЕЛЬСКОГО РАЙОНА""",Многоквартирный,Исправный,2403.9,2178.4,-,-,-,,,,,77:01:0003019:1041,896df25f-ee37-40b3-acfb-1a4f60e51cea,,,37.6666975,55.7748917,93,POINT (37.6666975 55.7748917)
"105066, Москва г, ул. Ольховская, д. 21/25",d6c97fa0-b154-469a-9932-b5ed8dd63b11,d6c97fa0-b154-469a-9932-b5ed8dd63b11,45378000,УО,5137746187541.0,770801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК КРАСНОСЕЛЬСКОГО РАЙОНА""",Многоквартирный,Исправный,1929.0,1596.9,-,-,-,,,,,77:01:0003019:1042,d71befdf-dd07-4d59-bc16-051a659f101d,,,37.667428,55.775669,93,POINT (37.667428 55.775669)
"105066, Москва г, ул. Ольховская, д. 33",cee56128-8387-4f37-afa0-1787925eba8a,cee56128-8387-4f37-afa0-1787925eba8a,45378000,УО,5137746187541.0,770801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК КРАСНОСЕЛЬСКОГО РАЙОНА""",Многоквартирный,Исправный,4123.4,3305.9,-,-,-,,,,,77:01:0003021:1011,39038274-af61-4701-94b0-59ceef93f419,,,37.671677,55.77687100000001,93,POINT (37.671677 55.77687100000001)
"105066, Москва г, ул. Ольховская, д. 45, строение 2",54ab5b06-ad11-4460-97c5-a3a9bc3a1640,54ab5b06-ad11-4460-97c5-a3a9bc3a1640,45378000,УО,5137746187541.0,770801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК КРАСНОСЕЛЬСКОГО РАЙОНА""",Многоквартирный,Исправный,3008.0,2705.9,-,-,-,,,,,77:01:0003021:1012,79d1aa98-da76-4155-b896-65d70b71e79e,,,37.671799,55.777808,93,POINT (37.671799 55.777808)
