Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 10",676b198b-588c-4bd0-8888-cffd2d841389,14abfa08-1047-4490-9a45-8fd9df6cc3d7,45945000,Не выбран,,,,Жилой,Исправный,123.3,,-,-,-,,,,,77:21:0130202:274,bc75b22d-e9f4-4414-a778-181829842caa,,,37.5619667,55.74292819999999,32,POINT (37.5619667 55.74292819999999)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 11, строение 1",2383c100-9daf-4dac-a300-f26700e11c1c,64d860b1-d841-4eb8-abde-2d51d1cf4bac,45945000,Не выбран,,,,Жилой,Исправный,20.6,,-,-,-,,,,,77:04:0005005:7297,fba00bbf-68f4-497e-a296-b1f5c45a22bd,,,37.5589405,55.7416717,32,POINT (37.5589405 55.7416717)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 12",adfa65db-8f52-458c-be4d-4c032d043c32,7a5b2df3-20b0-4cce-aad2-2f932a107f18,45945000,Не выбран,,,,Жилой,Исправный,92.6,,-,-,-,,,,,50:26:0130201:979,2f9a42d0-c499-4d6d-9436-673e25087959,,,37.5619751,55.7429302,32,POINT (37.5619751 55.7429302)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 13",42891002-391c-4414-8afb-623db90df166,307bdf8b-de5f-4128-a1b6-8c70c82fa4f6,45945000,Не выбран,,,,Жилой,Исправный,304.5,,-,-,-,,,,,77:21:0130202:604,e2cbdf3c-5893-4485-bfd9-4dc2dd8b7042,,,37.557648,55.7421078,32,POINT (37.557648 55.7421078)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 15",24d59ca0-c1aa-467d-b986-79be05d67b3a,24d59ca0-c1aa-467d-b986-79be05d67b3a,45945000,Не выбран,,,,Жилой,Исправный,164.4,,-,-,-,,,,,77:21:0130202:280,0d2d2561-95e2-4cee-8e52-d34fc6f37eb0,,,37.5408388,55.737796,32,POINT (37.5408388 55.737796)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 17",b3d8fec1-ac1a-4b2e-980b-1ae9132ca1dc,8e549798-2b91-4025-ad7b-ceb14aba6f50,45945000,Не выбран,,,,Жилой,Исправный,63.0,,-,-,-,,,,,50:26:0130201:923,d2b68375-3eee-4e67-8584-bddfddd22a83,,,37.5573832,55.7417928,32,POINT (37.5573832 55.7417928)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 18",5747f34f-7c77-4e0e-b307-4c157ce5f4fd,b815508a-90a3-4355-962f-550ab57e8c26,45945000,Не выбран,,,,Жилой,Исправный,291.1,,-,-,-,,,,,50:26:0130201:807,7f0a61f9-4402-4617-971b-ffe6d6481011,,,37.5482902,55.739211,32,POINT (37.5482902 55.739211)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 19",7bf47494-a712-4ff0-b8bf-695a69fd92e7,eb89a27d-76fd-4c23-aee6-391c34fff819,45945000,Не выбран,,,,Жилой,Исправный,191.8,,-,-,-,,,,,77:21:0130202:216,3b97e8fc-6837-4ec1-94f1-d109edf798e3,,,37.555349,55.741442,32,POINT (37.555349 55.741442)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 20",b8a2d73e-989f-4b68-9fc8-8c9f50ac62ad,df0318f8-4f0b-4ac7-a33e-851667197722,45945000,Не выбран,,,,Жилой,Исправный,308.3,,-,-,-,,,,,77:21:0130202:426,659bb54b-61a6-4f11-bb24-aa80cdb14534,,,37.5463582,55.73881069999999,32,POINT (37.5463582 55.73881069999999)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 23",5bf7690d-05d2-44c0-b798-4a4d0ddefdfd,5bf7690d-05d2-44c0-b798-4a4d0ddefdfd,45945000,Не выбран,,,,Жилой,Исправный,205.3,,-,-,-,,,,,77:21:0130202:16,161d2ccb-8bfe-4d3a-bcf6-7d0b354cfd1d,,,37.5527826,55.7402284,32,POINT (37.5527826 55.7402284)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 24",af8009b3-df6f-496b-be02-5b6e363b3325,1938e131-fa17-47e1-b839-25cc02b29951,45945000,Не выбран,,,,Жилой,Исправный,108.5,,-,-,-,,,,,77:21:0130202:265,98161107-9815-422a-a6b3-80cb7abf0c73,,,37.5522531,55.7402032,32,POINT (37.5522531 55.7402032)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 26",6735b8e4-2d34-4517-8143-734846c497fa,0b08a2b3-2e64-4179-9177-1de2358cbf65,45945000,Не выбран,,,,Жилой,Исправный,96.1,,-,-,-,,,,,77:21:0000000:3168,adf59d44-e46a-4300-b792-10adf643aaed,,,37.5385544,55.7377505,32,POINT (37.5385544 55.7377505)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 27",c9b724a2-d358-481c-9fdf-f94b7bc7286f,ce5e697a-5d7f-4c29-9a0d-1840beb1561e,45945000,Не выбран,,,,Жилой,Исправный,244.8,,-,-,-,,,,,50:26:0130201:1088,ecc556c5-4b03-43f4-b0f8-3fa9a75eba65,,,37.539561,55.7373918,32,POINT (37.539561 55.7373918)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 28",64cbdf24-a0cd-474e-b127-98311d9d8ae8,bb08e560-a203-4a67-bdc4-af647632ec4b,45945000,Не выбран,,,,Жилой,Исправный,82.2,,-,-,-,,,,,50:26:0130201:746,eda93036-5c40-4a51-879b-fb45b7db7159,,,37.5381696,55.7385736,32,POINT (37.5381696 55.7385736)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 33",f3b6b1a6-349a-4cf3-9489-99780fa66823,abd50d96-51e2-46c5-8375-5b5258ee405a,45945000,Не выбран,,,,Жилой,Исправный,262.0,,-,-,-,,,,,77:21:0130204:161,d2f799ac-d16b-4a51-b988-243b1bb3fafd,,,37.534722,55.742889,32,POINT (37.534722 55.742889)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 34",02f21832-0380-4e1e-af56-e5dd41cbcf42,4b70abe2-cf2c-46fa-8abc-3d2f2e06341b,45945000,Не выбран,,,,Жилой,Исправный,127.1,,-,-,-,,,,,77:21:0130202:261,cc0a7888-47c9-4331-a7f6-0a954a0eaa30,,,37.5347222,55.7428893,32,POINT (37.5347222 55.7428893)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 36",374b9917-474e-4c2e-a7f3-8ec8c3c86ec1,d1ba613b-5d5f-4014-b4ad-91e8c630929e,45945000,Не выбран,,,,Жилой,Исправный,235.8,,-,-,-,,,,,50:26:0130201:809,71d7a0f6-8b2a-442f-aba8-f1bbcb67d4ab,,,37.5347225,55.74288989999999,32,POINT (37.5347225 55.74288989999999)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 37",20e103e6-f4d9-4fcc-82d3-25f6ef9098f2,5eaaf68c-1de9-4434-86a7-d8fab5e66f8f,45945000,Не выбран,,,,Жилой,Исправный,306.6,,-,-,-,,,,,50:26:0130201:924,21275dd3-bbe0-40b7-b1ee-7423ac672f14,,,37.5347227,55.7428902,32,POINT (37.5347227 55.7428902)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 39",3a89376a-ccd1-4da9-8d80-3d3e98bdf089,70504ca5-6fbd-4bce-a262-72623ebcb5de,45945000,Не выбран,,,,Жилой,Исправный,324.5,,-,-,-,,,,,50:26:0130201:980,4693a2d4-70c4-4428-9401-8c1dcc767928,,,37.5386674,55.7383447,32,POINT (37.5386674 55.7383447)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 4",ac212c60-8c11-4ca6-a7af-16cdf00e5991,ffcd055e-7d20-44af-81d2-ef8898a9df88,45945000,Не выбран,,,,Жилой,Исправный,304.1,,-,-,-,,,,,77:21:0130202:252,5a589365-4912-48f4-8333-f5cde8661e6c,,,37.5599583,55.7422774,32,POINT (37.5599583 55.7422774)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 40",4ec73719-7bcd-4f63-87e2-8b4de1f24247,8d33a94d-064d-411b-a00b-ef343c964e40,45945000,Не выбран,,,,Жилой,Исправный,198.7,,-,-,-,,,,,50:26:0130201:748,7e26238a-1c84-4eec-9085-2a24051e9b3f,,,37.53472319999999,55.74289109999999,32,POINT (37.53472319999999 55.74289109999999)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 41",0fba6e1b-382e-413b-a705-b49c8aaaf76c,0df7c364-aaf8-41fe-9bcf-23e35808663d,45945000,Не выбран,,,,Жилой,Исправный,245.3,,-,-,-,,,,,77:21:0130202:276,d09c6f12-80d2-4dbb-89b6-a737cb246eea,,,37.5347234,55.7428914,32,POINT (37.5347234 55.7428914)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 42",8e19f460-0f9d-4ba8-8c87-1602d58ec4f0,b5d481f2-c9dd-4165-b271-c0cdfa5cab00,45945000,Не выбран,,,,Жилой,Исправный,291.1,,-,-,-,,,,,77:21:0130202:273,34fe02a6-54e2-4dee-ab31-5a66a4a46820,,,37.5347236,55.74289169999999,32,POINT (37.5347236 55.74289169999999)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 43",0a3ff7ce-70e8-4afc-b09a-d9464091f8f4,12e6e1d3-cb47-4e70-a3a8-2fe5ebd126a7,45945000,Не выбран,,,,Жилой дом блокированной застройки,Исправный,405.7,,-,-,-,,,,,50:26:0130201:1090,e4cca10d-dc77-4ba3-980d-bf5faa775481,,,37.53472379999999,55.742892,32,POINT (37.53472379999999 55.742892)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 45",0cfc551f-8cb9-4a51-a2c9-f25990f7ea47,9b9b90af-7a47-432e-a08c-776035b0c176,45945000,Не выбран,,,,Жилой,Исправный,321.9,,-,-,-,,,,,50:26:0130201:867,f2949834-9f8f-4663-91a0-e9043b62518d,,,37.5347241,55.7428925,32,POINT (37.5347241 55.7428925)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 47",1b6f1051-60cf-4ed9-9925-8c38d545501c,dbcbaa38-ddb1-447f-a694-22624bfbbdd6,45945000,Не выбран,,,,Жилой,Исправный,203.3,,-,-,-,,,,,77:21:0130202:271,d02ed3df-d1f0-4329-88d8-6eeccc2a8b86,,,37.5347245,55.7428931,32,POINT (37.5347245 55.7428931)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 48",1ee5e848-a894-4628-8a68-5eccb66ab608,4b432cce-db0b-410f-ac9a-bfc9621a8b75,45945000,Не выбран,,,,Жилой,Исправный,278.0,,-,-,-,,,,,77:21:0130202:250,7c6a4682-2b90-422d-a53d-5f3762eb2043,,,37.5347246,55.7428934,32,POINT (37.5347246 55.7428934)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 49",6da04a4e-c506-4c6c-b904-e0879804299e,1d111921-6181-4364-b2be-5f52182da0b1,45945000,Не выбран,,,,Жилой,Исправный,254.5,,-,-,-,,,,,50:26:0130201:869,0915a494-8dda-43e3-8076-ae34d6538722,,,37.5347248,55.7428937,32,POINT (37.5347248 55.7428937)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 51",2dbe5951-4a5e-484a-9406-6144823c4a46,57262452-f0b6-477a-b00d-71592f8cbe8a,45945000,Не выбран,,,,Жилой,Исправный,306.0,,-,-,-,,,,,77:21:0130202:290,803e9ee5-e859-46ac-ac45-2b80e7e9776f,,,37.5347252,55.7428943,32,POINT (37.5347252 55.7428943)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 52",6c0853f1-1b81-437c-8331-ac207b842220,195ef84e-7baa-4502-ac80-c97045572b07,45945000,Не выбран,,,,Жилой,Исправный,202.7,,-,-,-,,,,,77:21:0130202:6981,05d4837b-400f-4206-91ba-9a45da2871b4,,,37.5347253,55.7428946,32,POINT (37.5347253 55.7428946)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 53",c47ebab9-3a01-4528-b709-97ff60347ecd,50368010-b3a1-4286-955a-33bf148d7d55,45945000,Не выбран,,,,Жилой,Исправный,118.9,,-,-,-,,,,,50:26:0130201:1145,390d9325-df42-4719-864d-55de078481de,,,37.5347255,55.7428949,32,POINT (37.5347255 55.7428949)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 53а",7623ca8d-994f-456d-b17f-66f41c63fbf0,008d0ce3-f3ee-456e-b316-0903de888a3e,45945000,Не выбран,,,,Жилой,Исправный,216.9,,-,-,-,,,,,50:26:0130201:1024,b4966bd4-86ce-4dd7-99c1-b4f9f5a27501,,,37.5347255,55.7428949,32,POINT (37.5347255 55.7428949)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 54",91c1352e-6b6f-4e83-b5c9-7fdb9d1abbb5,c3970a2b-a540-4544-8a61-374aae78ad33,45945000,Не выбран,,,,Жилой,Исправный,184.6,,-,-,-,,,,,77:21:0130202:285,d384b691-fa1c-4b2c-bc05-628bd388d3bd,,,37.5347257,55.7428952,32,POINT (37.5347257 55.7428952)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 56",9033404e-21e8-4f0c-867e-777c02048ec6,b6840818-3c71-446c-bb0e-dc8a4adf7b77,45945000,Не выбран,,,,Жилой,Исправный,122.9,,-,-,-,,,,,77:21:0130202:272,2cc3522b-842c-4e07-9c0e-b11ecc3716e7,,,37.5351684,55.74226609999999,32,POINT (37.5351684 55.74226609999999)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 57",91fe27a5-777d-4e9f-a8ae-2846dbd1d54b,b372dda2-5c44-4590-b375-4c6f0f980b23,45945000,Не выбран,,,,Жилой,Исправный,202.1,,-,-,-,,,,,50:26:0130201:750,a9c1bcd4-2a4d-4d32-9dbb-47a91d6db799,,,37.5350012,55.7422476,32,POINT (37.5350012 55.7422476)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 58",ae65d063-57c2-4f82-99d3-16f3722389b9,143333c9-c97f-467c-bcc3-0190987d4784,45945000,Не выбран,,,,Жилой,Исправный,415.9,,-,-,-,,,,,50:26:0130201:871,216ddb5d-d5dc-464d-a333-754572b3bb06,,,37.5347264,55.7428963,32,POINT (37.5347264 55.7428963)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 59",54b15ee8-28c5-42f8-a373-f248d4e76659,15252c1a-02c8-44ad-8050-c775dac568be,45945000,Не выбран,,,,Жилой,Исправный,135.4,,-,-,-,,,,,50:26:0130201:1026,20d1cce3-5363-4a1e-9332-b8b9934a54ef,,,37.5354991,55.742332,32,POINT (37.5354991 55.742332)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 6",3b7d1671-ef20-4644-ad9b-f1fe7d248084,65608d1a-0a7b-4774-b137-ed8dd9cdee42,45945000,Не выбран,,,,Жилой,Исправный,299.8,,-,-,-,,,,,77:21:0130202:251,f3504e4c-e97f-428b-9c9b-4b55a2db87a2,,,37.5620515,55.7429759,32,POINT (37.5620515 55.7429759)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 60",cfddd8c6-b220-4565-8066-cba88574c94b,9b5ba89a-cc97-4176-bb90-e4eab2b43a0f,45945000,Не выбран,,,,Жилой,Исправный,164.2,,-,-,-,,,,,77:21:0130202:260,6ac60761-eed7-49ef-8ebc-e0eb6786b4e5,,,37.5347266,55.74289659999999,32,POINT (37.5347266 55.74289659999999)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 61",6c33a010-ad2f-45db-a596-2b928e54aede,a21a4e22-bbed-458c-a815-6eaddd78cb43,45945000,Не выбран,,,,Жилой,Исправный,188.1,,-,-,-,,,,,77:21:0130204:165,bfa0586a-4c51-4416-8faa-0d33837a7cd0,,,37.5347266,55.74289659999999,32,POINT (37.5347266 55.74289659999999)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 63",855ff762-0352-4f39-95dc-9b075643885e,441906a1-a0b3-4882-a8f7-3cf1927c2b98,45945000,Не выбран,,,,Жилой,Исправный,102.3,,-,-,-,,,,,77:21:0130202:266,19fbfca8-2794-43f3-9e5c-d891c986df3d,,,37.5351519,55.7422962,32,POINT (37.5351519 55.7422962)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 64, строение 1",a504845c-6d44-4e4e-b32f-92945bc81fd5,c995a3e0-839e-413a-b2ee-a111b40880b2,45945000,Не выбран,,,,Жилой,Исправный,153.0,,-,-,-,,,,,77:21:0130202:210,4ae07d30-fa3d-41a4-a442-8707715c1df4,,,37.5347266,55.7428967,32,POINT (37.5347266 55.7428967)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 65, строение 1",184ab66b-7df6-40be-baaa-a785a4e51f0a,116bb8f4-6064-4857-bc39-432b0278b2a6,45945000,Не выбран,,,,Жилой,Исправный,132.1,,-,-,-,,,,,77:21:0130202:264,87a8b594-34a9-43bb-9cf9-a838024463c0,,,37.5351515,55.7422967,32,POINT (37.5351515 55.7422967)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 66",c36ce69a-3a33-4663-b7bc-0f7b91b95ddb,9ec51daa-d305-4d5d-a563-178092c4c3c8,45945000,Не выбран,,,,Жилой,Исправный,119.2,,-,-,-,,,,,50:26:0130201:982,d5e51b16-3cc7-4c1c-868d-f04859714814,,,37.5347266,55.7428967,32,POINT (37.5347266 55.7428967)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 68",a2f36e34-a725-4af4-abc3-a2066cb2ead7,39cd9dc0-60e2-4fca-9af7-fbba71557808,45945000,Не выбран,,,,Жилой,Исправный,119.3,,-,-,-,,,,,50:26:0130201:873,e04bfe92-8873-4eaa-b0af-499bf24c224f,,,37.5347266,55.7428967,32,POINT (37.5347266 55.7428967)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 69",ff4d2661-6098-4bf2-8a36-c2f2eb7a81ad,83caa2a7-e34e-4f01-9255-79e4b9844681,45945000,Не выбран,,,,Жилой,Исправный,203.6,,-,-,-,,,,,77:21:0130204:167,c50adc1d-3e88-4527-a0a4-50a5d2f74cc8,,,37.5347266,55.7428967,32,POINT (37.5347266 55.7428967)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 7",88fd7e59-fa30-46e9-a354-72c999e6a2aa,f10b35bf-ed30-40bc-ba80-b1f0995a14db,45945000,Не выбран,,,,Жилой,Исправный,217.8,,-,-,-,,,,,50:26:0130202:906,29d20288-2ae6-4d48-8ffa-5378fa61c736,,,37.5588488,55.7420085,32,POINT (37.5588488 55.7420085)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 70",cec7a746-a39e-4505-a6c3-497b86acc084,2cc5d864-4480-4147-9cbf-e360a2316d63,45945000,Не выбран,,,,Жилой,Исправный,157.7,,-,-,-,,,,,77:21:0130202:200,7bfcf6aa-2be2-41a2-a589-85c0af9d6b81,,,37.5347266,55.7428967,32,POINT (37.5347266 55.7428967)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 71",2e5c3719-5e27-4543-b7de-83ffebd7f98d,a1ba606a-aaca-4669-9cc1-7df655edea23,45945000,Не выбран,,,,Жилой,Исправный,125.1,,-,-,-,,,,,50:26:0130201:1086,df2a76b3-3ba6-422b-979b-8a9a4c00c512,,,37.5347266,55.7428967,32,POINT (37.5347266 55.7428967)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 72",8d15ea89-a665-4776-92cf-09282953a3c1,4437e395-9b36-4d78-8e47-fd440dc32e93,45945000,Не выбран,,,,Жилой,Исправный,562.3,,-,-,-,,,,,77:21:0130202:275,5d8044d6-bac3-46d2-8ecf-b49800640099,,,37.5347266,55.7428967,32,POINT (37.5347266 55.7428967)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 76",0436d62f-8a68-4789-988d-f5bf0ef72eea,1df94401-808b-4eba-9542-9eb73939652c,45945000,Не выбран,,,,Жилой,Исправный,225.7,,-,-,-,,,,,50:26:0130201:1027,389af94e-1af3-4781-bf31-05b3867e4572,,,37.5347266,55.7428967,32,POINT (37.5347266 55.7428967)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 78",2ad5f43e-e10f-41d8-8b99-912daeb0ee07,c3a07616-372b-441d-bbdc-77729a4705ac,45945000,Не выбран,,,,Жилой,Исправный,86.9,,-,-,-,,,,,50:26:0130201:815,97aef82c-50e1-4b78-81a6-e193572d228c,,,37.5347266,55.7428967,32,POINT (37.5347266 55.7428967)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 8",8c2c99ee-d21c-4757-b4f5-0578139931b6,e9b08786-6dac-46a1-bcdc-a4484dd624f5,45945000,Не выбран,,,,Жилой,Исправный,301.7,,-,-,-,,,,,50:26:0130201:816,74607517-4db3-4a94-b4f5-e738db200eea,,,37.55734289999999,55.7422013,32,POINT (37.55734289999999 55.7422013)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 81",dd10bcfa-42f3-4f4a-8565-7b9f98fb8e74,2bf08c25-8bec-4072-bec0-559ac99e2d1a,45945000,Не выбран,,,,Жилой,Исправный,341.7,,-,-,-,,,,,77:21:0130202:6982,0de0aa16-ada3-4869-a787-3a1e47d69125,,,37.5347266,55.7428967,32,POINT (37.5347266 55.7428967)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 83",81131dfd-5b3c-42e0-8a39-00f806b11a63,ba0b1011-e2f5-462d-a581-299e847c3801,45945000,Не выбран,,,,Жилой,Исправный,165.5,,-,-,-,,,,,77:21:0130202:289,6f011d74-df2f-4b50-ae07-6176dcff112d,,,37.5347266,55.7428967,32,POINT (37.5347266 55.7428967)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Киевская, д. 9",e0a0b619-f81e-456d-b1bf-bb862bb325a1,9ae2ed07-6bc9-49be-807d-3b25cdb5cca4,45945000,Не выбран,,,,Жилой,Исправный,119.0,,-,-,-,,,,,50:26:0130201:756,658d6a75-7a37-478d-a211-5bd22dda2a4f,,,37.5588845,55.7420133,32,POINT (37.5588845 55.7420133)
"108817, Москва г, п. Внуковское, д. Внуково, ул. Киевская, д. 10",874da702-815f-4216-a8b0-871741f5f30c,0f2087ac-67c3-46ca-a5d4-e1fbbb9399cc,45941000,Не выбран,,,,Жилой,,192.8,,-,-,-,,,,,77:17:0100101:783,b60fc286-0cd6-4984-822b-43eeb982da7f,,,37.5619667,55.74292819999999,32,POINT (37.5619667 55.74292819999999)
"108817, Москва г, п. Внуковское, д. Внуково, ул. Киевская, д. 14",48c4a286-3e1d-4db7-9543-9940a5958c41,20a36a12-60b5-4d82-a633-0fe362004a24,45941000,Не выбран,,,,Жилой,,218.0,,-,-,-,,,,,77:17:0100101:916,ca9e2230-e8b4-4b93-b527-6623371e6028,,,37.5602633,55.7426112,32,POINT (37.5602633 55.7426112)
"108817, Москва г, п. Внуковское, д. Внуково, ул. Киевская, д. 15",665b85ed-69e8-46e2-8616-21f81ba5e307,50044874-1f82-48a8-9c7b-94c9c0a0a1ac,45941000,Не выбран,,,,Жилой,,96.8,,-,-,-,,,,,77:17:0100101:1044,54f08bce-5f44-4db1-809a-0cad26940aec,,,37.5408388,55.737796,32,POINT (37.5408388 55.737796)
"108817, Москва г, п. Внуковское, д. Внуково, ул. Киевская, д. 15Б",a4eb7851-2389-4429-a519-fbfc1d9a03ff,9a54898b-c792-4413-8d9f-884f9f46c10c,45941000,Не выбран,,,,Жилой,,96.8,,-,-,-,,,,,77:17:0100101:1043,7d4cdd10-68da-4eb2-a6fb-8baed4a4bb70,,,37.5408388,55.737796,32,POINT (37.5408388 55.737796)
"108817, Москва г, п. Внуковское, д. Внуково, ул. Киевская, д. 16",9e5e1ef7-83dc-4e77-befb-624fefe7fa64,cf0adeaf-fb95-490d-9ed1-4b3db3ec8ff8,45941000,Не выбран,,,,Жилой,,131.9,,-,-,-,,,,,77:17:0100101:1010,0beec9a9-c392-49ac-9655-3711a00635a2,,,37.5509438,55.74021,32,POINT (37.5509438 55.74021)
"108817, Москва г, п. Внуковское, д. Внуково, ул. Киевская, д. 17",1b8b2b0f-a8e7-4fc6-913a-6a12748239c7,744c1d5c-8d55-44ed-9a44-84ffbe07c9f3,45941000,Не выбран,,,,Жилой,,124.6,,-,-,-,,,,,77:17:0100101:915,260142ee-80e3-4683-a13d-a714bedc53fa,,,37.5573832,55.7417928,32,POINT (37.5573832 55.7417928)
"108817, Москва г, п. Внуковское, д. Внуково, ул. Киевская, д. 19",b34dfe87-6587-4563-895b-5980f258236e,5d697489-436e-4fc5-ad61-c38cf5872cf5,45941000,Не выбран,,,,Жилой,,158.5,,-,-,-,,,,,50:21:0100101:1365,be8618db-1661-4f59-81fd-133df5b97ea9,,,37.555349,55.741442,32,POINT (37.555349 55.741442)
"108817, Москва г, п. Внуковское, д. Внуково, ул. Киевская, д. 21",cba70d13-71a8-4828-9f1b-af14dfc905f0,778e1822-5bf8-4022-ac0b-72a2990c8004,45941000,Не выбран,,,,Жилой,,1212.8,,-,-,-,,,,,50:21:0100101:1128,840c31a4-df2c-4fa2-8f50-4f9a547f5c02,,,37.554416,55.740704,32,POINT (37.554416 55.740704)
"108817, Москва г, п. Внуковское, д. Внуково, ул. Киевская, д. 24",c7558c29-a911-4d74-947c-ed50a6341a89,a70ddee6-a634-4ed1-9440-eebe1ef02deb,45941000,Не выбран,,,,Жилой,,135.4,,-,-,-,,,,,,2f783c69-42df-4a7c-a245-32e502d2407f,,,37.5522531,55.7402032,32,POINT (37.5522531 55.7402032)
"108817, Москва г, п. Внуковское, д. Внуково, ул. Киевская, д. 4",ebf0fb10-1904-47b4-8c36-f80cffc64a71,fed1846d-fc70-40d8-9ea8-c83861200f9b,45941000,Не выбран,,,,Жилой,,304.8,,-,-,-,,,,,77:17:0100101:845,3891c773-9a4c-4c2e-9de6-70f0f6a37c51,,,37.5599583,55.7422774,32,POINT (37.5599583 55.7422774)
"108817, Москва г, п. Внуковское, д. Внуково, ул. Минская, д. 26",427a85be-4ca6-44a8-88af-6596f249daa6,0e9f3759-3ce2-4eb4-94a3-221a0505c74c,45941000,Не выбран,,,,Жилой,,329.0,,-,-,-,,,,,77:17:0100101:850,a1fbfc0a-6445-4f5e-9b97-85e45f03a0ba,,,37.49691240000001,55.7253081,32,POINT (37.49691240000001 55.7253081)
