Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"109429, Москва г, кв-л 1-й Капотня, д. 12",d6ed549e-8cce-477b-a788-b7e5bdbc0496,d6ed549e-8cce-477b-a788-b7e5bdbc0496,45386000,УО,5147746365190.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КАПОТНЯ""",Многоквартирный,Исправный,2563.0,2516.6,-,-,-,,,,,77:04:0004021:1186,1be68678-2fe8-4160-8155-7d3120b531db,,,37.8161945,55.6410889,34,POINT (37.8161945 55.6410889)
"109429, Москва г, кв-л 1-й Капотня, д. 13",51df4901-d6ae-4aa7-9a4c-8f9bd428204a,51df4901-d6ae-4aa7-9a4c-8f9bd428204a,45386000,УО,5147746365190.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КАПОТНЯ""",Многоквартирный,Исправный,2008.8,2008.8,-,-,-,,,,,77:04:0004021:1187,c1d839ff-1e02-4c9f-8dae-b9dbc832a722,,,37.8161603,55.64160469999999,34,POINT (37.8161603 55.64160469999999)
"109429, Москва г, кв-л 1-й Капотня, д. 2",95f16ca7-db90-4640-babd-5cd76de90da6,95f16ca7-db90-4640-babd-5cd76de90da6,45386000,УО,5147746365190.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КАПОТНЯ""",Многоквартирный,Исправный,2027.2,2027.2,-,-,-,,,,,77:04:0004021:1179,acbdce8a-a8cb-46bd-a6d6-7cfc6a74d2fd,,,37.8074773,55.6398762,34,POINT (37.8074773 55.6398762)
"109429, Москва г, кв-л 1-й Капотня, д. 3",857e9879-80d7-41c3-aee9-530f1327eae1,857e9879-80d7-41c3-aee9-530f1327eae1,45386000,УО,5147746365190.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КАПОТНЯ""",Многоквартирный,Исправный,2498.2,2274.9,-,-,-,,,,,77:04:0004021:1180,d36718bb-5cb7-4adf-b259-72e5dd06b3a0,,,37.8064784,55.641151,34,POINT (37.8064784 55.641151)
"109429, Москва г, кв-л 1-й Капотня, д. 4",6d5819ef-4991-4d2d-901b-cdce134d4fe8,6d5819ef-4991-4d2d-901b-cdce134d4fe8,45386000,УО,5147746365190.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КАПОТНЯ""",Многоквартирный,Исправный,2943.9,2369.6,-,-,-,,,,,77:04:0004021:1181,7b0c7baa-e00f-4707-8f19-13ca3daec333,,,37.8083562,55.6400478,34,POINT (37.8083562 55.6400478)
"109429, Москва г, кв-л 1-й Капотня, д. 5",5e082260-8528-4aa0-a6a7-95a40df023f7,5e082260-8528-4aa0-a6a7-95a40df023f7,45386000,УО,5147746365190.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КАПОТНЯ""",Многоквартирный,Исправный,2342.1,2342.1,-,-,-,,,,,77:04:0004021:1182,5d068d17-d440-4347-8dac-9da3485347d6,,,37.8164303,55.64111630000001,34,POINT (37.8164303 55.64111630000001)
"109429, Москва г, кв-л 1-й Капотня, д. 6",de7adbab-ee98-4664-9c3e-779c5366e3dd,de7adbab-ee98-4664-9c3e-779c5366e3dd,45386000,УО,5147746365190.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КАПОТНЯ""",Многоквартирный,Исправный,4901.9,3696.0,-,-,-,,,,,77:04:0004021:1183,70f6c888-f99f-4f48-97df-21b75708e614,,,37.8078012,55.6399578,34,POINT (37.8078012 55.6399578)
"109429, Москва г, кв-л 1-й Капотня, д. 7",e9db435b-a6af-4bb9-aacc-509bd521e9a3,e9db435b-a6af-4bb9-aacc-509bd521e9a3,45386000,УО,5147746365190.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КАПОТНЯ""",Многоквартирный,Исправный,2022.6,2015.8,-,-,-,,,,,77:04:0004021:1184,24a69c6f-f529-417f-b0ae-6fe80d6c84c7,,,37.7935743,55.656186,34,POINT (37.7935743 55.656186)
"109429, Москва г, кв-л 1-й Капотня, д. 8",0f0dc999-002b-44a6-8b55-a871eb14aa1a,0f0dc999-002b-44a6-8b55-a871eb14aa1a,45386000,УО,5147746365190.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КАПОТНЯ""",Многоквартирный,Исправный,2004.4,2004.4,-,-,-,,,,,77:04:0004021:1185,6f52bcf9-211e-40df-b7bb-889663c919bb,,,37.816422,55.64111699999999,34,POINT (37.816422 55.64111699999999)
"109429, Москва г, кв-л 3-й Капотня, д. 1",8e497e87-970a-4651-a505-ef94b7713f83,8e497e87-970a-4651-a505-ef94b7713f83,45386000,УО,5147746365190.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КАПОТНЯ""",Многоквартирный,Исправный,2593.8,2549.9,-,-,-,,,,,77:04:0004021:1054,ae14a6fd-920f-4919-badf-4f45c88c2c9d,,,37.8019139,55.6371386,34,POINT (37.8019139 55.6371386)
"109429, Москва г, кв-л 3-й Капотня, д. 2",9daeeda6-cd7b-41c5-9539-bcc4f2747372,9daeeda6-cd7b-41c5-9539-bcc4f2747372,45386000,УО,5147746365190.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КАПОТНЯ""",Многоквартирный,Исправный,3525.8,3525.8,-,-,-,,,,,77:04:0004021:1072,646392eb-d38c-4cbd-80ae-4d38a6737b14,,,37.8013003,55.6366484,34,POINT (37.8013003 55.6366484)
"109429, Москва г, кв-л 3-й Капотня, д. 25",571c1e81-e9c6-4273-b9cc-b13656cacb9b,571c1e81-e9c6-4273-b9cc-b13656cacb9b,45386000,УО,5147746365190.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КАПОТНЯ""",Многоквартирный,Исправный,5336.8,5020.6,-,-,-,,,,,77:04:0004021:1060,ce801f8a-ed77-4147-81cf-fd86afb5a600,,,37.802167,55.636062,34,POINT (37.802167 55.636062)
"109429, Москва г, кв-л 3-й Капотня, д. 4",0742d36c-f9d1-47d3-b50d-c86ed2f88d85,0742d36c-f9d1-47d3-b50d-c86ed2f88d85,45386000,УО,5147746365190.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КАПОТНЯ""",Многоквартирный,Исправный,3488.0,3443.5,-,-,-,,,,,77:04:0004021:1076,a998a3dd-8878-4415-8606-7bf4773588ba,,,37.8083562,55.6400478,34,POINT (37.8083562 55.6400478)
